population,short.description,year,group,total,total.low.CI,total.high.CI,male,male.low.CI,male.high.CI,female,female.low.CI,female.high.CI,estimated.number,estimated.number.low.CI,estimated.number.high.CI
adults,Physically active,2012,Quintile 2,54.5,49.5,59.3,58.3,53,63.5,50.6,44.6,56.6,394000,358000,429000
adults,Physically active,2012,Quintile 3,51.5,45.9,57.1,56.4,50.6,62.1,46.8,40.5,53.3,371000,331000,412000
adults,Physically active,2012,Quintile 4,49.5,44.9,54.1,53.3,47.7,58.9,45.9,40.8,51.1,350000,317000,382000
adults,Physically active,2012,Quintile 5,47.3,43.8,50.8,51.8,47.6,56,43.6,39.1,48.2,310000,287000,333000
adults,Physically active,2013,Total,52.1,50,54.2,55.2,52.9,57.4,49.1,46.6,51.7,1861000,1786000,1936000
adults,Physically active,2013,15-17,46.7,40.3,53.1,47.9,38.8,57.1,45.2,36.8,53.9,89000,77000,101000
adults,Physically active,2013,18-24,53.7,49.1,58.2,60.7,55,66.1,46.8,41,52.8,239000,218000,259000
adults,Physically active,2013,15-24,51.6,47.7,55.5,56.6,51.6,61.5,46.4,41.5,51.3,328000,303000,353000
adults,Physically active,2013,25-34,53.7,50.5,56.9,58.9,54.6,63,48.9,44.6,53.2,302000,284000,320000
adults,Physically active,2013,35-44,53.4,50.1,56.5,54.6,50.3,58.8,52.3,48.1,56.3,314000,295000,333000
adults,Physically active,2013,45-54,53.3,49.8,56.7,55.9,51.8,60,50.8,45.8,55.7,334000,312000,356000
adults,Physically active,2013,55-64,53.8,50.1,57.4,55.4,50.4,60.3,52.2,47.8,56.6,280000,261000,299000
adults,Physically active,2013,65-74,52.3,48.8,55.9,55.5,50.1,60.7,49.4,45.1,53.8,194000,181000,207000
adults,Physically active,2013,75+,40.6,35.9,45.5,41.6,34.8,48.7,39.8,34.2,45.7,110000,97000,123000
adults,Physically active,2013,Maori,50.5,47.9,53.1,56.6,52.9,60.3,45,41.7,48.4,233000,221000,245000
adults,Physically active,2013,Pacific,44.9,39.6,50.3,51.3,42.9,59.7,38.8,32.9,44.9,84000,74000,94000
adults,Physically active,2013,Asian,41.5,36.8,46.4,45.3,38.4,52.5,37.9,32.4,43.6,175000,155000,195000
adults,Physically active,2013,European/Other,54.8,52.4,57.2,57.4,54.8,59.9,52.4,49.5,55.3,1507000,1442000,1572000
adults,Physically active,2013,Quintile 1,54,47.3,60.5,53.7,46.3,60.9,54.3,46.8,61.6,392000,343000,439000
adults,Physically active,2013,Quintile 2,55,49.4,60.4,58.2,51.5,64.6,51.7,46,57.5,4.00E+05,359000,439000
adults,Physically active,2013,Quintile 3,52.7,48.8,56.5,56.3,52.1,60.5,49.2,43.7,54.6,387000,359000,415000
adults,Physically active,2013,Quintile 4,52.3,48.8,55.8,56.7,52.5,60.8,48.3,44.3,52.4,373000,348000,397000
adults,Physically active,2013,Quintile 5,46,42.3,49.7,50.5,46.3,54.7,41.9,37.8,46.1,311000,286000,335000
adults,Physically active,2014,Total,50.7,49,52.4,55.2,53.2,57.2,46.5,44.4,48.6,1853000,1791000,1915000
adults,Physically active,2014,15-17,49.6,43.2,56.1,53.3,44.6,61.8,46.1,37.9,54.6,96000,83000,108000
adults,Physically active,2014,18-24,52.6,48.4,56.8,60,54.5,65.2,44.4,38.8,50.2,241000,222000,260000
adults,Physically active,2014,15-24,51.7,47.9,55.6,58.1,53.2,62.9,45,40.3,49.7,337000,312000,362000
adults,Physically active,2014,25-34,53.8,50.7,56.9,59.5,55.1,63.8,48.3,44.6,52.1,317000,298000,335000
adults,Physically active,2014,35-44,51,47.8,54.2,54.5,50.3,58.7,47.8,43.4,52.2,298000,279000,316000
adults,Physically active,2014,45-54,54.4,51.1,57.7,56.2,51.9,60.4,52.7,48,57.4,343000,322000,364000
adults,Physically active,2014,55-64,52.3,48.6,56,56.4,51.6,61.2,48.5,44.2,52.8,279000,259000,298000
adults,Physically active,2014,65-74,47.2,44,50.4,50.1,44.8,55.4,44.4,40,48.9,182000,170000,194000
adults,Physically active,2014,75+,34.9,31.2,38.8,41.3,36.1,46.7,30,25.1,35.4,98000,87000,108000
adults,Physically active,2014,Maori,53.1,50.2,55.9,59.9,55.9,63.8,46.9,43.3,50.5,251000,238000,265000
adults,Physically active,2014,Pacific,54.3,50.3,58.2,63.5,57,69.7,46.2,41,51.5,109000,101000,117000
adults,Physically active,2014,Asian,44.5,40.1,49,48.8,41.9,55.8,40.3,36.2,44.6,193000,174000,212000
adults,Physically active,2014,European/Other,51.7,49.7,53.6,55.9,53.8,58.1,47.6,45.1,50.1,1452000,1398000,1506000
adults,Physically active,2014,Quintile 1,49.3,45.4,53.2,51.3,46.8,55.9,47.1,41.5,52.8,364000,335000,392000
adults,Physically active,2014,Quintile 2,54.2,49.5,58.9,59.9,54.1,65.5,48.9,43.1,54.6,398000,363000,432000
adults,Physically active,2014,Quintile 3,53.5,50.1,56.8,56.9,52.4,61.2,50.4,46.2,54.7,401000,376000,426000
adults,Physically active,2014,Quintile 4,48.7,44.5,53,56.1,50.9,61.2,42.3,37.9,46.8,356000,325000,387000
adults,Physically active,2014,Quintile 5,47.7,45.1,50.4,51.9,48.5,55.4,43.8,40.7,46.9,335000,316000,353000
adults,Physically active,2015,Total,47.7,45.8,49.6,51,48.9,53.2,44.5,42.4,46.7,1784000,1713000,1855000
adults,Physically active,2015,15-17,41.7,36,47.6,49.2,41.4,57.1,33.7,26.2,42,83000,72000,95000
adults,Physically active,2015,18-24,49.7,45.5,53.8,53.8,48.2,59.4,45.2,40,50.4,231000,211000,250000
adults,Physically active,2015,15-24,47.3,44,50.5,52.5,48,56.9,41.7,37.6,45.9,314000,293000,336000
adults,Physically active,2015,25-34,48.7,45.8,51.7,52.1,47.7,56.5,45.4,41.3,49.6,304000,286000,323000
adults,Physically active,2015,35-44,49.9,47.1,52.8,53.8,49.6,57.9,46.4,42.8,50,290000,274000,307000
adults,Physically active,2015,45-54,49.7,46.7,52.8,52.3,47.9,56.7,47.4,43.5,51.3,315000,296000,335000
adults,Physically active,2015,55-64,51.1,47.5,54.8,52.6,48.7,56.4,49.8,45.2,54.4,280000,260000,3.00E+05
adults,Physically active,2015,65-74,46.1,42.3,49.9,47.6,42.2,53.1,44.7,40.1,49.3,184000,169000,199000
adults,Physically active,2015,75+,33,29.8,36.4,37.1,32,42.5,29.9,26,34,96000,87000,106000
adults,Physically active,2015,Maori,49.6,46.7,52.5,53.3,48.9,57.7,46.2,42.9,49.6,238000,225000,252000
adults,Physically active,2015,Pacific,44,39,49,52.2,45.8,58.5,37.2,31.3,43.4,98000,87000,109000
adults,Physically active,2015,Asian,38.4,35.2,41.7,40.9,36.2,45.7,35.8,31.1,40.7,174000,159000,189000
adults,Physically active,2015,European/Other,49.5,47.4,51.6,52.8,50.4,55.2,46.4,43.9,48.9,1425000,1364000,1487000
adults,Physically active,2015,Quintile 1,49.9,45.8,54,48.5,43.5,53.4,51.3,47,55.5,375000,344000,406000
adults,Physically active,2015,Quintile 2,50.7,47.1,54.3,54.3,49.7,58.8,47.2,42.8,51.6,384000,357000,412000
adults,Physically active,2015,Quintile 3,48.6,44.8,52.3,53.8,49.4,58,43.3,38.8,47.8,372000,343000,401000
adults,Physically active,2015,Quintile 4,46,43.3,48.7,50.4,46.5,54.3,42.3,39,45.6,348000,327000,369000
adults,Physically active,2015,Quintile 5,43,39.7,46.3,47.7,43.9,51.6,38.6,34.7,42.7,305000,281000,328000
adults,Physically active,2016,Total,50.2,48.5,51.9,53,50.9,55.1,47.6,45.6,49.5,1924000,1859000,1988000
adults,Physically active,2016,15-17,47.1,41.6,52.8,53.1,44.8,61.2,41,32.7,49.8,92000,81000,103000
adults,Physically active,2016,18-24,53.5,49.5,57.5,58.3,52.9,63.5,48.3,43.1,53.4,255000,236000,274000
adults,Physically active,2016,15-24,51.7,48.4,54.9,56.8,52.3,61.3,46.1,42.1,50.1,347000,325000,369000
adults,Physically active,2016,25-34,52.6,49.5,55.8,56.4,52,60.8,48.9,45.1,52.7,349000,328000,370000
adults,Physically active,2016,35-44,53.2,50.4,56.1,56.5,52.7,60.2,50.2,46.1,54.3,309000,293000,326000
adults,Physically active,2016,45-54,52.7,49.8,55.6,54.9,50.6,59.1,50.7,46.4,55,336000,317000,354000
adults,Physically active,2016,55-64,50.7,47.5,53.8,51.9,48.2,55.7,49.5,45.3,53.8,286000,268000,303000
adults,Physically active,2016,65-74,46.4,43,49.8,46.2,42.1,50.4,46.5,42.1,50.9,191000,177000,205000
adults,Physically active,2016,75+,35,31.1,39.2,35.5,30.1,41.2,34.7,30.3,39.4,106000,94000,118000
adults,Physically active,2016,Maori,51.1,48.4,53.9,58.1,53.6,62.4,44.9,41.4,48.4,250000,237000,264000
adults,Physically active,2016,Pacific,43.1,38.7,47.7,47.9,40.9,55,38.8,33,44.8,101000,91000,112000
adults,Physically active,2016,Asian,42.5,38.7,46.3,42.6,37.4,47.9,42.4,37.7,47.2,208000,189000,227000
adults,Physically active,2016,European/Other,52.1,50.1,54.1,55,52.5,57.4,49.5,47.1,51.8,1527000,1469000,1586000
adults,Physically active,2016,Quintile 1,52.1,47.9,56.2,55.6,51.1,60.1,48.7,43.8,53.6,4.00E+05,368000,432000
adults,Physically active,2016,Quintile 2,52.9,48.9,56.8,55.5,50.2,60.7,50.2,45.3,55.2,411000,380000,442000
adults,Physically active,2016,Quintile 3,51.4,48.1,54.8,53.1,48.5,57.6,49.9,45.8,53.9,401000,375000,427000
adults,Physically active,2016,Quintile 4,50.4,47.2,53.6,54.1,50,58.1,46.7,42.8,50.7,392000,367000,417000
adults,Physically active,2016,Quintile 5,43.9,40.6,47.4,46,42.2,49.8,42.2,38,46.5,319000,295000,344000
adults,After-hours medical centre visit,2011,Total,12.6,11.8,13.6,12.3,11,13.7,13,11.9,14.1,442000,411000,474000
adults,After-hours medical centre visit,2011,15-24,16.8,14.1,19.9,15.9,11.8,21.2,17.7,14.2,21.9,105000,88000,124000
adults,After-hours medical centre visit,2011,25-34,14.3,12.2,16.7,14,11.1,17.6,14.6,11.8,17.9,78000,66000,91000
adults,After-hours medical centre visit,2011,35-44,14.2,12.2,16.3,14.9,12.2,18,13.5,10.9,16.6,86000,74000,99000
adults,After-hours medical centre visit,2011,45-54,10.4,8.9,12.3,9.6,7.3,12.5,11.2,9.2,13.7,65000,55000,76000
adults,After-hours medical centre visit,2011,55-64,10.8,9.1,12.8,9.1,7,11.8,12.5,9.9,15.7,54000,46000,65000
adults,After-hours medical centre visit,2011,65-74,9.5,7.7,11.7,10,7.2,13.6,9,6.8,11.9,32000,26000,39000
adults,After-hours medical centre visit,2011,75+,8.5,6.5,11,8.7,5.9,12.5,8.3,5.9,11.6,22000,17000,29000
adults,After-hours medical centre visit,2011,Maori,13.1,10.9,15.6,12.4,9.4,16.1,13.7,11.1,16.7,58000,49000,69000
adults,After-hours medical centre visit,2011,Pacific,12.9,10,16.4,14.7,10.4,20.4,11.4,8.4,15.2,26000,20000,33000
adults,After-hours medical centre visit,2011,Asian,7.9,5.9,10.4,8.1,5.5,11.8,7.7,5,11.9,29000,22000,39000
adults,After-hours medical centre visit,2011,European/Other,13.3,12.3,14.4,12.7,11.1,14.4,13.9,12.7,15.2,366000,339000,395000
adults,After-hours medical centre visit,2011,Quintile 1,14,12,16.3,15.1,12,18.8,13,10.3,16.1,101000,86000,117000
adults,After-hours medical centre visit,2011,Quintile 2,12.5,10.5,14.9,11,8.3,14.3,14.1,11.8,16.7,89000,75000,106000
adults,After-hours medical centre visit,2011,Quintile 3,12.2,10.5,14.1,12.4,9.9,15.5,11.9,9.4,14.9,85000,74000,99000
adults,After-hours medical centre visit,2011,Quintile 4,13.3,11.1,16,13.2,10.5,16.4,13.5,10.6,16.9,93000,77000,111000
adults,After-hours medical centre visit,2011,Quintile 5,11.1,9.5,12.9,9.3,7.5,11.5,12.5,10.3,15.2,73000,63000,86000
adults,After-hours medical centre visit,2012,Total,11.7,10.8,12.8,10.4,9.2,11.7,13,11.9,14.2,414000,380000,450000
adults,After-hours medical centre visit,2012,15-24,15.2,12.8,18,13.4,10.4,17.1,17,13.6,21,95000,80000,112000
adults,After-hours medical centre visit,2012,25-34,13.5,11.5,15.8,12.9,10.2,16.1,14.2,11.5,17.3,74000,63000,87000
adults,After-hours medical centre visit,2012,35-44,13.8,11.9,15.9,11.5,9.1,14.3,15.9,13.4,18.8,82000,71000,95000
adults,After-hours medical centre visit,2012,45-54,10.4,8.9,12.2,9.7,7.5,12.6,11.1,9.1,13.5,65000,55000,76000
adults,After-hours medical centre visit,2012,55-64,8.4,6.7,10.5,6.4,4.2,9.5,10.3,8.2,12.8,43000,34000,53000
adults,After-hours medical centre visit,2012,65-74,9.2,7,12,8.6,5.9,12.2,9.7,7.2,13,32000,25000,42000
adults,After-hours medical centre visit,2012,75+,8.3,6.7,10.4,6.2,4.2,9.1,9.9,7.7,12.7,22000,18000,27000
adults,After-hours medical centre visit,2012,Maori,10.4,8.7,12.3,9.1,6.7,12.2,11.6,9.4,14.3,47000,40000,56000
adults,After-hours medical centre visit,2012,Pacific,12.1,9.6,15.3,11.5,7.8,16.5,12.7,9.2,17.3,24000,19000,30000
adults,After-hours medical centre visit,2012,Asian,9.2,6.9,12.2,7.8,5.3,11.4,10.6,7.6,14.8,35000,26000,47000
adults,After-hours medical centre visit,2012,European/Other,12.4,11.3,13.6,11,9.6,12.6,13.7,12.4,15,335000,305000,368000
adults,After-hours medical centre visit,2012,Quintile 1,13,10.6,15.8,11.2,8.1,15.3,14.7,12.2,17.7,93000,76000,113000
adults,After-hours medical centre visit,2012,Quintile 2,10.3,8.7,12.3,9.7,7.3,12.7,10.9,9.1,13.2,74000,62000,88000
adults,After-hours medical centre visit,2012,Quintile 3,11.5,9.7,13.6,10.4,8.2,13.1,12.6,10.3,15.3,83000,70000,98000
adults,After-hours medical centre visit,2012,Quintile 4,12.4,10.5,14.6,11,8.8,13.6,13.7,11.3,16.7,88000,74000,103000
adults,After-hours medical centre visit,2012,Quintile 5,11.5,9.9,13.4,9.5,7.8,11.4,13.2,11,15.7,76000,65000,88000
adults,After-hours medical centre visit,2013,Total,10.7,9.9,11.6,9.3,8.4,10.3,12,10.8,13.3,382000,353000,413000
adults,After-hours medical centre visit,2013,15-24,13.6,11.3,16.4,10,7.3,13.4,17.5,14.2,21.4,87000,72000,104000
adults,After-hours medical centre visit,2013,25-34,13.7,11.7,16,12.4,9.6,15.8,14.9,12.2,18,77000,66000,90000
adults,After-hours medical centre visit,2013,35-44,12,10,14.4,11.4,8.6,15.1,12.6,10.2,15.4,71000,59000,85000
adults,After-hours medical centre visit,2013,45-54,8,6.7,9.6,6.5,4.8,8.9,9.4,7.4,11.7,50000,42000,60000
adults,After-hours medical centre visit,2013,55-64,9.4,7.8,11.2,9,7.1,11.4,9.8,7.4,12.8,49000,41000,58000
adults,After-hours medical centre visit,2013,65-74,8.4,6.8,10.2,7.5,5.3,10.3,9.3,7.1,11.9,31000,25000,38000
adults,After-hours medical centre visit,2013,75+,6.4,4.8,8.5,5.7,3.2,10.1,6.9,5,9.3,17000,13000,23000
adults,After-hours medical centre visit,2013,Maori,10,8.5,11.8,8.3,6.4,10.7,11.5,9.2,14.3,46000,39000,55000
adults,After-hours medical centre visit,2013,Pacific,9.2,7.3,11.6,6.7,4.2,10.3,11.7,8.8,15.4,17000,14000,22000
adults,After-hours medical centre visit,2013,Asian,9.7,7.8,12.1,9.2,6.4,13,10.2,7.8,13.3,41000,33000,51000
adults,After-hours medical centre visit,2013,European/Other,11.2,10.2,12.3,9.7,8.6,10.9,12.7,11.2,14.3,309000,282000,339000
adults,After-hours medical centre visit,2013,Quintile 1,13.3,10.7,16.5,13.2,9.6,17.7,13.4,10.1,17.6,96000,77000,119000
adults,After-hours medical centre visit,2013,Quintile 2,9.7,8.1,11.5,7,5.2,9.4,12.3,10.3,14.8,71000,59000,84000
adults,After-hours medical centre visit,2013,Quintile 3,11.4,9.7,13.3,10.8,8.6,13.4,12,9.8,14.6,84000,72000,98000
adults,After-hours medical centre visit,2013,Quintile 4,9.7,8.4,11.2,8,6.4,9.9,11.3,9.4,13.5,69000,60000,80000
adults,After-hours medical centre visit,2013,Quintile 5,9.2,8,10.6,7.4,6.1,9.1,10.8,9.1,12.9,62000,54000,72000
adults,After-hours medical centre visit,2014,Total,10.3,9.5,11.2,9.6,8.6,10.7,11,9.8,12.3,377000,347000,410000
adults,After-hours medical centre visit,2014,15-24,12.9,10.8,15.3,13.7,10.5,17.5,12.1,9.6,15,84000,70000,1.00E+05
adults,After-hours medical centre visit,2014,25-34,12.5,10.8,14.5,11.8,9.4,14.7,13.2,10.7,16.2,74000,63000,85000
adults,After-hours medical centre visit,2014,35-44,10.9,9.1,12.9,9.7,7.5,12.6,11.9,9.4,15.1,64000,53000,76000
adults,After-hours medical centre visit,2014,45-54,10.3,8.5,12.4,10.5,8.2,13.3,10.1,8,12.7,65000,54000,78000
adults,After-hours medical centre visit,2014,55-64,7.7,6.5,9.2,5.5,4,7.4,9.8,7.9,12.2,41000,34000,49000
adults,After-hours medical centre visit,2014,65-74,7.2,5.5,9.4,6.2,3.9,9.8,8.2,5.7,11.6,28000,21000,36000
adults,After-hours medical centre visit,2014,75+,7.9,6.3,10,5,3.4,7.3,10.2,7.5,13.6,22000,18000,28000
adults,After-hours medical centre visit,2014,Maori,9.3,7.8,11.1,9.6,7.4,12.5,9,7.2,11.2,44000,37000,53000
adults,After-hours medical centre visit,2014,Pacific,9.6,7.3,12.7,9.3,6.4,13.4,9.9,6.6,14.7,19000,15000,25000
adults,After-hours medical centre visit,2014,Asian,8.2,6.6,10,9.5,7,12.7,6.8,5.2,9,35000,29000,43000
adults,After-hours medical centre visit,2014,European/Other,10.8,9.8,11.9,9.6,8.4,10.9,12,10.6,13.5,304000,276000,334000
adults,After-hours medical centre visit,2014,Quintile 1,9.5,7.6,11.9,7.8,5.7,10.6,11.4,8.8,14.6,70000,56000,87000
adults,After-hours medical centre visit,2014,Quintile 2,11.2,9.8,12.8,10.6,8.4,13.2,11.8,9.9,14,82000,72000,94000
adults,After-hours medical centre visit,2014,Quintile 3,10.5,8.5,12.8,11.1,8.3,14.8,9.9,7.8,12.4,79000,64000,96000
adults,After-hours medical centre visit,2014,Quintile 4,9.5,8.1,11.1,8.6,6.8,10.8,10.2,8.4,12.4,69000,59000,81000
adults,After-hours medical centre visit,2014,Quintile 5,11,9.6,12.5,10.1,8.4,12,11.8,9.6,14.5,77000,67000,88000
adults,After-hours medical centre visit,2015,Total,11,10.1,11.9,9.6,8.6,10.7,12.3,11,13.6,410000,378000,445000
adults,After-hours medical centre visit,2015,15-24,12.9,10.8,15.3,11,8.4,14.3,14.9,11.7,18.7,86000,71000,102000
adults,After-hours medical centre visit,2015,25-34,11.8,10.1,13.6,9.1,7.2,11.4,14.4,12,17.2,73000,63000,85000
adults,After-hours medical centre visit,2015,35-44,13.2,11.5,15.1,12.4,9.9,15.3,13.9,11.6,16.7,77000,67000,88000
adults,After-hours medical centre visit,2015,45-54,10,8.1,12.2,9.5,6.8,13.2,10.4,8.2,13,63000,52000,77000
adults,After-hours medical centre visit,2015,55-64,9.1,7.5,11.2,9,6.8,11.8,9.3,6.9,12.5,50000,41000,61000
adults,After-hours medical centre visit,2015,65-74,8.5,6.8,10.5,6.6,4.6,9.3,10.3,7.8,13.5,34000,27000,42000
adults,After-hours medical centre visit,2015,75+,9.4,7.7,11.5,7.2,5,10.3,11.1,8.6,14.3,27000,22000,33000
adults,After-hours medical centre visit,2015,Maori,10.5,9,12.3,9.6,7.4,12.4,11.4,9.1,14.1,51000,43000,60000
adults,After-hours medical centre visit,2015,Pacific,13.9,10.7,17.9,15.5,11.2,21,12.6,8.8,17.7,31000,24000,40000
adults,After-hours medical centre visit,2015,Asian,10.2,8.5,12,9.3,7.1,12,11.1,8.6,14.3,46000,38000,54000
adults,After-hours medical centre visit,2015,European/Other,11.2,10.2,12.2,9.7,8.5,11,12.6,11.2,14.1,322000,293000,352000
adults,After-hours medical centre visit,2015,Quintile 1,13.2,11.4,15.2,13.8,11,17.4,12.6,9.7,16.2,99000,86000,114000
adults,After-hours medical centre visit,2015,Quintile 2,11.7,10,13.5,9.2,7.3,11.5,14.1,11.6,17,88000,76000,103000
adults,After-hours medical centre visit,2015,Quintile 3,10,8.5,11.8,6.9,5.2,9.2,13.2,11.1,15.7,77000,65000,90000
adults,After-hours medical centre visit,2015,Quintile 4,9.8,8.4,11.5,9,7.3,11.1,10.5,8.7,12.6,74000,64000,87000
adults,After-hours medical centre visit,2015,Quintile 5,10.1,8.5,11.9,9.1,7.2,11.5,11,8.8,13.6,72000,60000,85000
adults,After-hours medical centre visit,2016,Total,10.9,10.2,11.6,10,8.9,11.1,11.8,10.8,12.9,417000,391000,446000
adults,After-hours medical centre visit,2016,15-24,13.7,11.4,16.3,13.2,10.1,16.9,14.2,11,18.1,92000,77000,109000
adults,After-hours medical centre visit,2016,25-34,11.6,9.9,13.6,10.3,8,13.3,12.9,10.6,15.7,77000,66000,90000
adults,After-hours medical centre visit,2016,35-44,10,8.4,11.8,8.7,6.6,11.3,11.2,9.1,13.6,58000,49000,69000
adults,After-hours medical centre visit,2016,45-54,10.2,8.6,12.1,9.8,7.2,13.3,10.6,8.5,13.1,65000,55000,77000
adults,After-hours medical centre visit,2016,55-64,10.2,8.6,12,9.2,7,11.9,11.1,8.8,14,57000,49000,67000
adults,After-hours medical centre visit,2016,65-74,9.2,7.4,11.4,8,5.9,10.9,10.3,7.9,13.4,38000,30000,47000
adults,After-hours medical centre visit,2016,75+,9.9,8,12.3,8.1,5.8,11.3,11.3,8.8,14.4,30000,24000,37000
adults,After-hours medical centre visit,2016,Maori,9.3,7.9,10.9,8.5,6.4,11.2,10,8.2,12.1,46000,39000,54000
adults,After-hours medical centre visit,2016,Pacific,11.9,9.4,15,11.9,8,17.2,12,8.6,16.4,28000,22000,35000
adults,After-hours medical centre visit,2016,Asian,9.3,7.2,11.9,9.4,6.7,13,9.1,6.5,12.6,45000,35000,58000
adults,After-hours medical centre visit,2016,European/Other,11.4,10.5,12.3,10.2,9,11.5,12.5,11.3,13.7,333000,308000,359000
adults,After-hours medical centre visit,2016,Quintile 1,13.1,11.1,15.5,13,10,16.8,13.2,10.6,16.5,101000,85000,119000
adults,After-hours medical centre visit,2016,Quintile 2,11.1,9.5,12.9,9.1,7.1,11.5,13.2,10.8,16.1,86000,74000,1.00E+05
adults,After-hours medical centre visit,2016,Quintile 3,10.8,9.4,12.3,9.2,7.2,11.7,12.3,10.1,14.8,84000,73000,96000
adults,After-hours medical centre visit,2016,Quintile 4,9.5,8.2,10.9,8.6,6.7,10.9,10.3,8.7,12.2,74000,64000,85000
adults,After-hours medical centre visit,2016,Quintile 5,10,8.7,11.4,10,8,12.3,10,8.5,11.8,73000,64000,83000
adults,Past-year drinkers,2011,Total,79.5,78.5,80.5,84.6,83.3,85.8,74.8,73.1,76.3,2776000,2741000,2809000
adults,Past-year drinkers,2011,15-17,59.6,53.7,65.2,59.8,51.7,67.5,59.3,50.6,67.4,115000,103000,125000
adults,Past-year drinkers,2011,18-24,84.8,81.9,87.3,88.5,83.6,92.1,81,77.1,84.3,366000,354000,377000
adults,Past-year drinkers,2011,15-24,77,74.4,79.5,79.6,75.7,83.1,74.3,71,77.4,481000,464000,496000
adults,Past-year drinkers,2011,25-34,82.6,80.2,84.8,87.8,83.9,90.8,77.8,74.3,81,449000,436000,461000
adults,Past-year drinkers,2011,35-44,83.7,81.6,85.6,88.2,85.1,90.8,79.6,76.8,82.2,507000,494000,518000
